23858.856560    0.08040	5120150428203326517781026616147472649101910081000975999 087047+0965810642a0665
23858.864960   -0.00755	5120150428204532714578026590551710626301910069003114066 087058+0916110642a0665
23858.886870    0.09651	5120150428211705815566026633860536510101910048001251249 087091+0906110642a0674
23858.957390    0.09011	5120150428225838825763226711076616228101910021001054478 087135+0906010642a0538
23859.920280    0.00608	5120150429220512253057026609231253488301910036002321049 087384+0618410642a0677
23859.942960    0.01009	5120150429223751927941426628376141754301910022002624018 087377+0598410642a0421
23867.052920    0.05366	5120150507011612347720525407023185900301910053003042036 087396+1172510642a0625
23867.080570    0.04883	5120150507015600865934725396803542516301910067003117042 087375+1082410642a0675
23867.094080    0.01911	5120150507021528902470625391418457256001910030001704041 087350+1132310642a0582
23867.101690    0.09302	5120150507022626302179625394561080142301910046002517036 087353+1122410642a0557
23867.135840   -0.01877	5120150507031536500346525397709250101001910020001961032 087351+1052510642a0590
23867.142610    0.07990	5120150507032521179060425403713028134301910043003158034 087338+1032410642a0485
23869.089200    0.04546	5120150509020826773471824972629642477301910072002439076 087363+1025910642a0660
23869.098050   -0.04007	5120150509022111122980924983141136964401910030001453963 087359+1025810642a0682
23869.128520    0.10258	5120150509030503895924724944227871710301910050002564058 087392+1035710642a0682
23869.146110    0.01876	5120150509033024131362424955271355344401910008001179467 087417+1065410642a0715
23869.160730    0.06769	5120150509035127171090024933241532483301910066002359088 087429+1105310642a0644
23869.202930    0.06349	5120150509045212737498124935852641959301910120002900112 087484+1234710642a0661
23869.216440    0.04358	5120150509051140391733224940671259090301910030002546045 087486+1274810642a0332
23870.145060   -0.03006	5120150510032852998570924746232725715401910042001451999 087955+1294510642a0521
23870.154630    0.03571	5120150510034240163281924721697847622301910045002172107 087959+1264610642a0638
23870.224100    0.05065	5120150510052242490315824703716246740301910062002606074 088009+1354310642a0560
23870.248670    0.01467	5120150510055804714603224706195179235001910014002080034 088052+1513910642a0623
23870.274420   -0.00194	5120150510063510055956724723205768033301910027003079035 088084+1603710642a0667
23871.190860    0.06914	5120150511043449961376124502606812468301910011002072093 088247+1365210642a0695
23871.222290    0.04560	5120150511052005714400224487856851697301910054002736183 088253+1484910642a0678
23871.229120   -0.01609	5120150511052955822676024482468487006001910055001414256 088257+1534910642a0676
